agent_id,from_node,to_node,shortest_path_cost, shortest_path_node_seq
319,14,7,5.0,14;11;10;9;8;7;
320,14,8,4.0,14;11;10;9;8;
321,14,9,3.0,14;11;10;9;
322,14,10,2.0,14;11;10;
323,14,11,1.0,14;11;
324,14,12,2.0,14;11;12;
325,14,13,3.0,14;11;12;13;
326,14,14,0,14;
327,14,15,1.0,14;15;
328,14,16,3.0,14;11;10;16;
329,14,17,3.0,14;11;10;17;
330,14,18,4.0,14;11;10;16;18;
331,14,19,2.0,14;15;19;
332,14,20,3.0,14;15;19;20;
333,14,21,3.0,14;15;22;21;
334,14,22,2.0,14;15;22;
335,14,23,1.0,14;23;
336,14,24,2.0,14;23;24;
337,15,1,5.0,15;10;11;4;3;1;
338,15,2,5.0,15;10;9;5;6;2;
339,15,3,4.0,15;10;11;4;3;
340,15,4,3.0,15;10;11;4;
341,15,5,3.0,15;10;9;5;
342,15,6,4.0,15;10;9;5;6;
343,15,7,4.0,15;10;9;8;7;
344,15,8,3.0,15;10;9;8;
345,15,9,2.0,15;10;9;
346,15,10,1.0,15;10;
347,15,11,2.0,15;10;11;
348,15,12,3.0,15;10;11;12;
349,15,13,4.0,15;10;11;12;13;
350,15,14,1.0,15;14;
351,15,15,0,15;
352,15,16,2.0,15;10;16;
353,15,17,2.0,15;10;17;
354,15,18,3.0,15;10;16;18;
355,15,19,1.0,15;19;
356,15,20,2.0,15;19;20;
357,15,21,2.0,15;22;21;
358,15,22,1.0,15;22;
359,15,23,2.0,15;14;23;
360,15,24,3.0,15;14;23;24;
361,16,1,4.0,16;8;6;2;1;
362,16,2,3.0,16;8;6;2;
363,16,3,4.0,16;10;11;4;3;
364,16,4,3.0,16;10;11;4;
365,16,5,3.0,16;8;6;5;
366,16,6,2.0,16;8;6;
367,16,7,2.0,16;8;7;
368,16,8,1.0,16;8;
369,16,9,2.0,16;8;9;
370,16,10,1.0,16;10;
371,16,11,2.0,16;10;11;
372,16,12,3.0,16;10;11;12;
373,16,13,4.0,16;10;11;12;13;
374,16,14,3.0,16;10;11;14;
375,16,15,2.0,16;10;15;
376,16,16,0,16;
377,16,17,1.0,16;17;
378,16,18,1.0,16;18;
379,16,19,2.0,16;17;19;
380,16,20,2.0,16;18;20;
381,16,21,3.0,16;18;20;21;
382,16,22,3.0,16;10;15;22;
383,16,23,4.0,16;10;11;14;23;
384,16,24,4.0,16;18;20;21;24;
385,17,1,5.0,17;10;11;4;3;1;
386,17,2,4.0,17;16;8;6;2;
387,17,3,4.0,17;10;11;4;3;
388,17,4,3.0,17;10;11;4;
389,17,5,3.0,17;10;9;5;
390,17,6,3.0,17;16;8;6;
391,17,7,3.0,17;16;8;7;
392,17,8,2.0,17;16;8;
393,17,9,2.0,17;10;9;
394,17,10,1.0,17;10;
395,17,11,2.0,17;10;11;
396,17,12,3.0,17;10;11;12;
397,17,13,4.0,17;10;11;12;13;
398,17,14,3.0,17;10;11;14;
399,17,15,2.0,17;10;15;
400,17,16,1.0,17;16;
401,17,17,0,17;
402,17,18,2.0,17;16;18;
403,17,19,1.0,17;19;
404,17,20,2.0,17;19;20;
405,17,21,3.0,17;19;20;21;
406,17,22,3.0,17;10;15;22;
407,17,23,4.0,17;10;11;14;23;
408,17,24,4.0,17;19;20;21;24;
409,18,1,5.0,18;7;8;6;2;1;
410,18,2,4.0,18;7;8;6;2;
411,18,3,5.0,18;16;10;11;4;3;
412,18,4,4.0,18;16;10;11;4;
413,18,5,4.0,18;7;8;6;5;
414,18,6,3.0,18;7;8;6;
415,18,7,1.0,18;7;
416,18,8,2.0,18;7;8;
417,18,9,3.0,18;7;8;9;
418,18,10,2.0,18;16;10;
419,18,11,3.0,18;16;10;11;
420,18,12,4.0,18;16;10;11;12;
421,18,13,4.0,18;20;21;24;13;
422,18,14,4.0,18;16;10;11;14;
423,18,15,3.0,18;16;10;15;
424,18,16,1.0,18;16;
425,18,17,2.0,18;16;17;
426,18,18,0,18;
427,18,19,2.0,18;20;19;
428,18,20,1.0,18;20;
429,18,21,2.0,18;20;21;
430,18,22,2.0,18;20;22;
431,18,23,3.0,18;20;22;23;
432,18,24,3.0,18;20;21;24;
433,19,1,6.0,19;15;10;11;4;3;1;
434,19,2,5.0,19;17;16;8;6;2;
435,19,3,5.0,19;15;10;11;4;3;
436,19,4,4.0,19;15;10;11;4;
437,19,5,4.0,19;15;10;9;5;
438,19,6,4.0,19;17;16;8;6;
439,19,7,3.0,19;20;18;7;
440,19,8,3.0,19;17;16;8;
441,19,9,3.0,19;15;10;9;
442,19,10,2.0,19;15;10;
443,19,11,3.0,19;15;10;11;
444,19,12,4.0,19;15;10;11;12;
445,19,13,4.0,19;20;21;24;13;
446,19,14,2.0,19;15;14;
447,19,15,1.0,19;15;
448,19,16,2.0,19;17;16;
449,19,17,1.0,19;17;
450,19,18,2.0,19;20;18;
451,19,19,0,19;
452,19,20,1.0,19;20;
453,19,21,2.0,19;20;21;
454,19,22,2.0,19;15;22;
455,19,23,3.0,19;15;14;23;
456,19,24,3.0,19;20;21;24;
457,20,1,6.0,20;18;7;8;6;2;1;
458,20,2,5.0,20;18;7;8;6;2;
459,20,3,5.0,20;21;24;13;12;3;
460,20,4,5.0,20;18;16;10;11;4;
461,20,5,5.0,20;18;7;8;6;5;
462,20,6,4.0,20;18;7;8;6;
463,20,7,2.0,20;18;7;
464,20,8,3.0,20;18;7;8;
465,20,9,4.0,20;18;7;8;9;
466,20,10,3.0,20;18;16;10;
467,20,11,4.0,20;18;16;10;11;
468,20,12,4.0,20;21;24;13;12;
469,20,13,3.0,20;21;24;13;
470,20,14,3.0,20;19;15;14;
471,20,15,2.0,20;19;15;
472,20,16,2.0,20;18;16;
473,20,17,2.0,20;19;17;
474,20,18,1.0,20;18;
475,20,19,1.0,20;19;
476,20,20,0,20;
477,20,21,1.0,20;21;
478,20,22,1.0,20;22;
479,20,23,2.0,20;22;23;
480,20,24,2.0,20;21;24;
481,21,1,5.0,21;24;13;12;3;1;
482,21,2,6.0,21;20;18;7;8;6;2;
483,21,3,4.0,21;24;13;12;3;
484,21,4,5.0,21;22;15;10;11;4;
485,21,5,5.0,21;22;15;10;9;5;
486,21,6,5.0,21;20;18;7;8;6;
487,21,7,3.0,21;20;18;7;
488,21,8,4.0,21;20;18;7;8;
489,21,9,4.0,21;22;15;10;9;
490,21,10,3.0,21;22;15;10;
491,21,11,4.0,21;22;15;10;11;
492,21,12,3.0,21;24;13;12;
493,21,13,2.0,21;24;13;
494,21,14,3.0,21;22;15;14;
495,21,15,2.0,21;22;15;
496,21,16,3.0,21;20;18;16;
497,21,17,3.0,21;20;19;17;
498,21,18,2.0,21;20;18;
499,21,19,2.0,21;20;19;
500,21,20,1.0,21;20;
501,21,21,0,21;
502,21,22,1.0,21;22;
503,21,23,2.0,21;22;23;
504,21,24,1.0,21;24;
505,22,1,6.0,22;15;10;11;4;3;1;
506,22,2,6.0,22;15;10;9;5;6;2;
507,22,3,5.0,22;15;10;11;4;3;
508,22,4,4.0,22;15;10;11;4;
509,22,5,4.0,22;15;10;9;5;
510,22,6,5.0,22;15;10;9;5;6;
511,22,7,3.0,22;20;18;7;
512,22,8,4.0,22;15;10;9;8;
513,22,9,3.0,22;15;10;9;
514,22,10,2.0,22;15;10;
515,22,11,3.0,22;15;10;11;
516,22,12,4.0,22;15;10;11;12;
517,22,13,3.0,22;21;24;13;
518,22,14,2.0,22;15;14;
519,22,15,1.0,22;15;
520,22,16,3.0,22;15;10;16;
521,22,17,3.0,22;15;10;17;
522,22,18,2.0,22;20;18;
523,22,19,2.0,22;15;19;
524,22,20,1.0,22;20;
525,22,21,1.0,22;21;
526,22,22,0,22;
527,22,23,1.0,22;23;
528,22,24,2.0,22;21;24;
529,23,1,5.0,23;14;11;4;3;1;
530,23,2,6.0,23;14;11;4;3;1;2;
531,23,3,4.0,23;14;11;4;3;
532,23,4,3.0,23;14;11;4;
533,23,5,4.0,23;14;11;4;5;
534,23,6,5.0,23;14;11;4;5;6;
535,23,7,4.0,23;22;20;18;7;
536,23,8,5.0,23;14;11;10;9;8;
537,23,9,4.0,23;14;11;10;9;
538,23,10,3.0,23;14;11;10;
539,23,11,2.0,23;14;11;
540,23,12,3.0,23;14;11;12;
541,23,13,2.0,23;24;13;
542,23,14,1.0,23;14;
543,23,15,2.0,23;14;15;
544,23,16,4.0,23;14;11;10;16;
545,23,17,4.0,23;14;11;10;17;
546,23,18,3.0,23;22;20;18;
547,23,19,3.0,23;14;15;19;
548,23,20,2.0,23;22;20;
549,23,21,2.0,23;22;21;
550,23,22,1.0,23;22;
551,23,23,0,23;
552,23,24,1.0,23;24;
553,24,1,4.0,24;13;12;3;1;
554,24,2,5.0,24;13;12;3;1;2;
555,24,3,3.0,24;13;12;3;
556,24,4,4.0,24;13;12;3;4;
557,24,5,5.0,24;13;12;3;4;5;
558,24,6,6.0,24;13;12;3;1;2;6;
559,24,7,4.0,24;21;20;18;7;
560,24,8,5.0,24;21;20;18;7;8;
561,24,9,5.0,24;13;12;11;10;9;
562,24,10,4.0,24;13;12;11;10;
563,24,11,3.0,24;13;12;11;
564,24,12,2.0,24;13;12;
565,24,13,1.0,24;13;
566,24,14,2.0,24;23;14;
567,24,15,3.0,24;21;22;15;
568,24,16,4.0,24;21;20;18;16;
569,24,17,4.0,24;21;20;19;17;
570,24,18,3.0,24;21;20;18;
571,24,19,3.0,24;21;20;19;
572,24,20,2.0,24;21;20;
573,24,21,1.0,24;21;
574,24,22,2.0,24;21;22;
575,24,23,1.0,24;23;
576,24,24,0,24;
